stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711611,"CHELLES GOURNAY",,48.87473432,2.58374619,,,1,
StopArea:DUA8711352,"LE CHENAY GAGNY",,48.87646513,2.55258211,,,1,
StopArea:DUA8711351,"GAGNY",,48.88351831,2.52637008,,,1,
StopArea:DUA8711347,"LE RAINCY VILLEMOMBLE MONTFERMEIL",,48.88952806,2.5121936,,,1,
StopArea:DUA8711340,"BONDY",,48.89444691,2.47854517,,,1,
StopArea:DUA8711321,"NOISY LE SEC",,48.8960709,2.46044903,,,1,
StopArea:DUA8711320,"PANTIN",,48.89695513,2.40090291,,,1,
StopArea:DUA8728187,"MAGENTA",,48.88091071,2.35881445,,,1,
StopArea:DUA8728189,"HAUSSMANN SAINT-LAZARE",,48.87484053,2.32679973,,,1,
StopArea:DUA8768135,"GRAND BOURG",,48.64631831,2.43326145,,,1,
StopArea:DUA8716478,"STADE DE FRANCE SAINT-DENIS",,48.91788763,2.35226765,,,1,
StopArea:DUA8727116,"PIERREFITTE STAINS",,48.96421244,2.3720051,,,1,
StopArea:DUA8727619,"GARGES SARCELLES",,48.97665874,2.39027273,,,1,
StopArea:DUA8727622,"VILLIERS LE BEL GONESSE ARNOUVILLE",,48.99431219,2.41680259,,,1,
StopArea:DUA8727624,"GOUSSAINVILLE",,49.02380491,2.46250166,,,1,
StopArea:DUA8727623,"LES NOUES",,49.03279434,2.47761277,,,1,
StopArea:DUA8727625,"LOUVRES",,49.04955871,2.50152709,,,1,
StopArea:DUA8727626,"SURVILLIERS FOSSES",,49.09993453,2.52529179,,,1,
StopArea:DUA8727628,"LA BORNE BLANCHE",,49.12677729,2.50612219,,,1,
StopArea:DUA8727627,"ORRY LA VILLE COYE LA FORET",,49.1553229,2.47563682,,,1,
StopArea:DUA8768217,"LE MEE",,48.5401873,2.62410713,,,1,
StopArea:DUA8768216,"CESSON",,48.56502041,2.59388728,,,1,
StopArea:DUA8768218,"SAVIGNY LE TEMPLE NANDY",,48.595883,2.58451025,,,1,
StopArea:DUA8768215,"LIEUSAINT MOISSY",,48.62851576,2.56907319,,,1,
StopArea:DUA8768214,"COMBS LA VILLE QUINCY",,48.66770942,2.54814298,,,1,
StopArea:DUA8768213,"BOUSSY SAINT-ANTOINE",,48.68099562,2.53303979,,,1,
StopArea:DUA8768212,"BRUNOY",,48.69936025,2.50582991,,,1,
StopArea:DUA8768211,"YERRES",,48.70676476,2.48332479,,,1,
StopArea:DUA8768210,"MONTGERON CROSNE",,48.70796582,2.46241095,,,1,
StopArea:DUA8775865,"GENTILLY",,48.81489782,2.34090582,,,1,
StopArea:DUA8775870,"SCEAUX",,48.78135381,2.29762996,,,1,
StopArea:DUA8775871,"FONTENAY AUX ROSES",,48.78783762,2.29316657,,,1,
StopArea:DUA8775872,"ROBINSON",,48.78015393,2.28119889,,,1,
StopArea:DUA8754530,"IVRY SUR SEINE",,48.814085,2.39049754,,,1,
